Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W010_G4A_10_ATa.TIF,2,0.020,0.010,0.019,0.671,0.293,0.659
MP_W010_G4A_1_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_2_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_3_ATa.TIF,1,0.016,0.016,0.015,0.842,0.278,0.575
MP_W010_G4A_4_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_5_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_6_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_7_ATa.TIF,1,0.008,0.008,0.008,0.448,0.523,0.865
MP_W010_G4A_8_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_9_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_10_Atr.TIF,11,0.267,0.024,0.256,1.423,0.227,0.572
MP_W010_G4A_1_Atr.TIF,14,0.222,0.016,0.213,1.085,0.221,0.622
MP_W010_G4A_2_Atr.TIF,9,0.134,0.015,0.128,0.889,0.354,0.650
MP_W010_G4A_3_Atr.TIF,7,0.123,0.018,0.118,1.042,0.220,0.589
MP_W010_G4A_4_Atr.TIF,10,0.226,0.023,0.217,1.382,0.224,0.528
MP_W010_G4A_5_Atr.TIF,11,0.172,0.016,0.165,0.911,0.293,0.623
MP_W010_G4A_6_Atr.TIF,21,0.378,0.018,0.363,1.102,0.226,0.613
MP_W010_G4A_7_Atr.TIF,17,0.350,0.021,0.336,1.218,0.233,0.587
MP_W010_G4A_8_Atr.TIF,20,0.411,0.021,0.394,1.257,0.218,0.577
MP_W010_G4A_9_Atr.TIF,12,0.264,0.022,0.253,1.334,0.237,0.605
MP_W010_G4A_negative_Atr.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_positive_Atr.TIF,6,0.142,0.024,0.136,1.415,0.201,0.455
MP_W010_G4A_10_AtrTa.TIF,11,0.268,0.024,0.257,1.298,0.272,0.568
MP_W010_G4A_1_AtrTa.TIF,17,0.259,0.015,0.249,0.999,0.239,0.608
MP_W010_G4A_2_AtrTa.TIF,12,0.245,0.020,0.235,1.146,0.311,0.597
MP_W010_G4A_3_AtrTa.TIF,12,0.222,0.019,0.213,1.024,0.264,0.566
MP_W010_G4A_4_AtrTa.TIF,12,0.328,0.027,0.315,1.504,0.182,0.501
MP_W010_G4A_5_AtrTa.TIF,15,0.239,0.016,0.229,0.776,0.359,0.700
MP_W010_G4A_6_AtrTa.TIF,17,0.325,0.019,0.311,1.139,0.244,0.576
MP_W010_G4A_7_AtrTa.TIF,13,0.328,0.025,0.315,1.284,0.238,0.556
MP_W010_G4A_8_AtrTa.TIF,19,0.411,0.022,0.395,1.277,0.207,0.543
MP_W010_G4A_9_AtrTa.TIF,14,0.327,0.023,0.314,1.362,0.226,0.558
MP_W010_G4A_10_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_1_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_2_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_3_B.TIF,2,0.041,0.021,0.040,1.568,0.119,0.283
MP_W010_G4A_4_B.TIF,1,0.013,0.013,0.013,0.806,0.257,0.529
MP_W010_G4A_5_B.TIF,2,0.026,0.013,0.025,0.765,0.307,0.586
MP_W010_G4A_6_B.TIF,1,0.036,0.036,0.035,1.269,0.281,0.601
MP_W010_G4A_7_B.TIF,2,0.041,0.021,0.040,1.235,0.274,0.485
MP_W010_G4A_8_B.TIF,2,0.030,0.015,0.028,0.958,0.258,0.696
MP_W010_G4A_9_B.TIF,1,0.011,0.011,0.010,0.693,0.278,0.646
MP_W010_G4A_negative_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W010_G4A_positive_B.TIF,11,0.253,0.023,0.243,1.215,0.272,0.583
